target,state_handling,session_persistence,cold_start,streaming,cost_model,observability,identity_model,hitl_support,gpu_support,vendor_lock_in
local-compose,you own it (Postgres + Redis + event log),your schema; survives restart,none after first boot,native SSE/WebSocket,hardware only,OTel collector you run,local dev principals; no real IdP,build it yourself (this repo's approval service),host GPU if present,none
aws-bedrock-agentcore,managed runtime state plus your own stores,managed memory service (short and long term),verify (managed runtime; measure per region),supported,consumption per runtime resource-hour plus per-service dimensions,ADOT to CloudWatch; OTel-compatible,IAM or JWT/OIDC inbound; managed identity component,approval is your application's job; runtime supports long waits,managed (no direct GPU control),high on session/memory/gateway; low on agent code
gcp-managed-agent-runtime,managed runtime state plus your own stores,managed sessions and memory services,verify (managed runtime; measure per region),supported,consumption per vCPU-hour plus per-event session/memory dimensions,Cloud-native tracing; OTel-compatible,workload identity federation,approval is your application's job,managed,high on sessions/memory; low on agent code
azure-foundry-agent-service,managed runtime state plus your own stores,managed threads/sessions,verify (hosted-agents status was still moving at press time),supported,consumption per agent/session dimensions,Foundry observability; OTel-based,enterprise agent identity plus tenant identity,approval is your application's job,managed,high on threads/tooling; low on agent code
aws-ecs-fargate,you own it,your schema,seconds (task start),native,per vCPU-second and GB-second while running,OTel sidecar or agent,task role plus your IdP,build it yourself,supported on GPU task types,low
aws-lambda,you own it; must externalise all state,external store required,sub-second to seconds; provisioned concurrency removes it,response streaming supported,per request and GB-second,OTel layer,execution role,poor fit for waits; pair with a durable engine,no,low to medium
gcp-cloud-run,you own it,external store required,sub-second to seconds; min-instances removes it,native,per request and vCPU/GB-second,Cloud-native plus OTel,service account,poor fit for long waits without a durable engine,supported,low
azure-container-apps,you own it,external store required,seconds; min-replicas removes it,native,per vCPU-second and GB-second,OTel,managed identity,poor fit for long waits alone,serverless GPU available,low
managed-kubernetes,you own everything,your schema,pod scheduling time,native,node capacity you provision,OTel operator,workload identity plus service accounts,build it yourself,node pools with GPUs,very low
kubernetes-native-agent-platform,custom resources reconciled by a controller,depends on the operator's backing store,pod scheduling time,native,node capacity,OTel built in to most projects,workload identity plus mesh policy,varies by project (verify),node pools with GPUs,low; portable manifests
edge-durable-objects,per-object embedded storage,per-agent object; survives hibernation,near zero; hibernation wake is fast,native WebSocket with resumption,per request plus per active duration; idle is free,platform observability plus OTel export,platform tokens; bring your own IdP,strong fit (object sleeps while waiting),no local GPU; remote inference,high
temporal,journal in the engine,workflow state is the session,worker start time,pass-through to your service,per action or self-hosted infrastructure,OTel interceptors,your IdP; workers hold credentials,strong fit (suspend and resume are native),via worker nodes,medium; the workflow programming model is the lock-in
dbos,journal in Postgres in-process,workflow state in Postgres,process start,pass-through,Postgres plus your compute,OTel,your IdP,strong fit,via host,low; it is a library over Postgres
restate,journal in the engine,workflow state is the session,service start,pass-through,per operation or self-hosted,OTel,your IdP,strong fit,via services,medium
inngest,managed event and step journal,step state in the platform,function start,pass-through,per step or run,platform plus OTel,your IdP,strong fit,via your compute,medium
aws-step-functions,state machine execution history,execution is the session,sub-second,pass-through,per state transition,CloudWatch plus X-Ray,execution role,strong fit (wait states and callbacks),via invoked compute,high
azure-durable-functions,journal in the task hub,orchestration state in storage,function start,pass-through,per execution plus storage operations,Application Insights,managed identity,strong fit,via invoked compute,high
